epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,4452.97,0.69425,0.54664,1.04513,0.83775,0.7465,0.79342,0.58958,1.08035,0.8666,1.05508,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,4536.61,0.68603,0.52911,1.02993,0.81896,0.75502,0.74513,0.55545,1.01011,0.89465,1.00718,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,4620.45,0.69909,0.53398,1.03883,0.83984,0.73708,0.77229,0.58236,1.08442,0.897,1.0029,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,4704.08,0.69219,0.53626,1.04437,0.84015,0.751,0.77429,0.56576,1.07166,0.90094,1.0354,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,4787.81,0.67624,0.51226,1.03065,0.81922,0.74297,0.76881,0.57021,1.09091,0.92963,1.0438,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,4871.63,0.6786,0.52227,1.03897,0.83197,0.73092,0.76488,0.57034,1.05549,0.89332,1.03373,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,4955.38,0.68421,0.50704,1.03472,0.84153,0.75502,0.78615,0.58718,0.9996,0.8703,0.99015,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,5039.04,0.67651,0.50592,1.02439,0.8333,0.76288,0.78268,0.58592,1.02942,0.85514,1.02489,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,5122.75,0.66912,0.49508,1.01513,0.86843,0.76305,0.78228,0.57256,1.05745,0.84653,1.04076,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,5206.55,0.67946,0.51193,1.02324,0.83512,0.75263,0.77978,0.58479,1.0041,0.82685,1.01574,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,5290.34,0.66247,0.49886,1.02112,0.83027,0.75904,0.76576,0.58273,0.99578,0.89381,1.00669,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,5373.92,0.65139,0.4837,1.01416,0.85491,0.76305,0.77239,0.56652,1.0457,0.88011,1.04036,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,5457.76,0.66184,0.48386,1.02009,0.84745,0.76707,0.76781,0.55723,1.07299,0.87312,1.07916,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,5541.61,0.65295,0.48454,1.01293,0.85668,0.77108,0.80364,0.58931,1.01495,0.86032,1.00339,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,5625.54,0.63357,0.47783,1.00319,0.87931,0.79518,0.79565,0.5832,1.04943,0.86654,1.03956,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,5709.15,0.64668,0.48391,1.00684,0.82739,0.751,0.75268,0.56256,0.98858,0.85064,1.02598,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,5793,0.64517,0.4732,1.01171,0.88082,0.7751,0.79846,0.59615,1.0218,0.82788,1.02642,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,5876.75,0.65226,0.46976,1.01108,0.85942,0.78566,0.80768,0.5852,1.04135,0.83085,1.0359,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,5960.54,0.64622,0.47687,1.00641,0.86506,0.74665,0.77632,0.56903,1.00948,0.86832,1.03681,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,6044.34,0.63346,0.45934,1.00336,0.85187,0.7751,0.77434,0.56482,1.03415,0.82886,1.03465,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,6127.92,0.63741,0.46843,1.00967,0.82449,0.79239,0.7925,0.58466,1.0193,0.82741,0.99635,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,6211.56,0.64174,0.47426,1.00077,0.85332,0.75502,0.77651,0.58533,1.01226,0.83228,1.00106,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,6295.23,0.63114,0.46159,1.00177,0.87452,0.75502,0.78955,0.58123,1.00834,0.82795,1.03058,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,6378.83,0.62195,0.4469,0.99537,0.85296,0.78313,0.79024,0.59724,1.01449,0.80625,1.03453,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,6462.65,0.61562,0.45229,0.99308,0.83147,0.77273,0.77355,0.58265,1.02232,0.82223,1.05121,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
