epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,1410.58,0.46422,0.52371,0.29898,0.85841,0.76305,0.81581,0.53063,0.4334,0.51671,0.26993,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,1584.6,0.47108,0.51107,0.29021,0.86391,0.77108,0.82778,0.6201,0.33408,0.51019,0.23069,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,1759.58,0.45831,0.50265,0.29445,0.85268,0.79034,0.81132,0.55999,0.38826,0.49352,0.23166,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,1935.28,0.44708,0.49139,0.29001,0.9028,0.73896,0.82774,0.61133,0.34461,0.5139,0.21546,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,2111.57,0.43906,0.48952,0.28656,0.84313,0.73392,0.80027,0.60898,0.31895,0.50965,0.22072,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,2287.77,0.46188,0.4886,0.28819,0.89212,0.73896,0.80547,0.59459,0.34568,0.49532,0.22767,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,2461.6,0.48425,0.48869,0.28921,0.87557,0.76707,0.81968,0.5968,0.34215,0.50083,0.24412,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,2636.37,0.46541,0.47053,0.27845,0.89093,0.75904,0.82951,0.63932,0.30827,0.48749,0.22774,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,2812.31,0.42861,0.479,0.27083,0.82181,0.7779,0.81539,0.59939,0.3544,0.48745,0.25858,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,2986.54,0.45541,0.47728,0.27816,0.87318,0.77421,0.81853,0.63241,0.29902,0.50778,0.21478,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,3161.28,0.45926,0.46722,0.27998,0.8616,0.7751,0.83505,0.62155,0.32771,0.50487,0.2157,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,3335.97,0.45049,0.46452,0.27695,0.87178,0.7751,0.82051,0.6231,0.30066,0.51755,0.22769,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,3511.39,0.47099,0.47486,0.28317,0.83816,0.76957,0.79515,0.59648,0.33071,0.50541,0.23558,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,250.509,0.50268,0.9071,0.45409,0.86922,0.74297,0.77779,0.57602,0.34339,0.54806,0.25148,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
